,Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
30258,43998,12331132,JE188269,4/2/2021 7:00,077XX S SANGAMON ST,560,ASSAULT,SIMPLE,STREET,False,False,621,6,17.0,71,08A,1171319.0,1853422.0,2021,4/9/2021 17:06,41.75325385,-87.64774992,"(41.75325385, -87.647749921)"
31456,45790,12333325,JE190978,4/6/2021 10:08,106XX S HALSTED ST,820,THEFT,$500 AND UNDER,GAS STATION,False,False,2233,22,34.0,49,6,1172869.0,1834211.0,2021,4/13/2021 17:27,41.70050216,-87.64263466,"(41.700502156, -87.642634662)"
33631,48988,12337960,JE196752,4/12/2021 1:17,044XX N SHERIDAN RD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1914,19,46.0,3,08B,1168805.0,1929605.0,2021,4/19/2021 17:20,41.96236103,-87.65475632,"(41.962361027, -87.654756322)"
301,427,12264192,JE105944,1/7/2021 12:45,039XX N WESTERN AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1921,19,47.0,5,6,1159666.0,1926273.0,2021,1/16/2021 15:49,41.95341152,-87.68844894,"(41.953411521, -87.688448935)"
27356,39762,12323940,JE179412,3/25/2021 13:53,077XX S PHILLIPS AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,ALLEY,False,False,421,4,7.0,43,04A,1193875.0,1854031.0,2021,4/1/2021 17:04,41.75440203,-87.56507198,"(41.754402034, -87.565071979)"
3062,4629,12266366,JE108574,1/10/2021 5:25,040XX W SCHOOL ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1731,17,30.0,16,08B,1148690.0,1921618.0,2021,1/17/2021 15:49,41.94085738,-87.72891859,"(41.940857375, -87.728918593)"
17084,24755,12301487,JE152384,2/24/2021 19:40,075XX S COTTAGE GROVE AVE,460,BATTERY,SIMPLE,COMMERCIAL / BUSINESS OFFICE,False,False,624,6,6.0,69,08B,1182866.0,1855285.0,2021,3/3/2021 15:47,41.75810583,-87.6053771,"(41.758105826, -87.605377104)"
28468,41409,12326011,JE182002,3/28/2021 2:30,106XX S YATES AVE,560,ASSAULT,SIMPLE,RESIDENCE,False,False,434,4,7.0,51,08A,1194343.0,1834995.0,2021,4/4/2021 17:01,41.70215405,-87.56398045,"(41.702154047, -87.563980453)"
12659,18424,12293257,JE130772,2/2/2021 12:00,102XX S LAFAYETTE AVE,820,THEFT,$500 AND UNDER,RESIDENCE,False,True,511,5,9.0,49,6,1177727.0,1837103.0,2021,2/19/2021 15:45,41.70832992,-87.62475945,"(41.708329919, -87.624759451)"
14232,20671,12293250,JE141948,2/14/2021 23:30,035XX S RHODES AVE,460,BATTERY,SIMPLE,STREET,False,False,212,2,4.0,35,08B,1180172.0,1881335.0,2021,2/21/2021 15:48,41.82965153,-87.6144519,"(41.829651528, -87.614451899)"
7711,11429,12277757,JE122329,1/24/2021 11:30,052XX W DIVISION ST,810,THEFT,OVER $500,BAR OR TAVERN,False,False,2532,25,37.0,25,6,1141009.0,1907488.0,2021,1/31/2021 15:48,41.90222829,-87.75749815,"(41.902228286, -87.757498152)"
16282,23615,12298904,JE149298,2/22/2021 21:18,023XX W 23RD ST,460,BATTERY,SIMPLE,APARTMENT,False,True,1034,10,25.0,31,08B,1161099.0,1888684.0,2021,3/1/2021 15:46,41.85023464,-87.68422664,"(41.850234638, -87.684226644)"
25406,36918,12322962,JE178288,3/12/2021 9:00,120XX S LOWE AVE,820,THEFT,$500 AND UNDER,RESIDENCE,False,False,523,5,34.0,53,6,1174152.0,1824982.0,2021,3/26/2021 16:58,41.67514801,-87.63820949,"(41.675148012, -87.638209494)"
19142,27743,12287136,JE133901,2/6/2021 3:45,004XX N DEARBORN ST,496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,HOTEL / MOTEL,True,True,1831,18,42.0,8,04B,1175865.0,1903147.0,2021,3/26/2021 16:58,41.88960296,-87.62959813,"(41.889602962, -87.629598125)"
5510,8252,12274712,JE118868,1/18/2021 14:17,063XX N LEADER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,1621,16,39.0,12,14,1142501.0,1941353.0,2021,1/25/2021 15:48,41.99512932,-87.75117284,"(41.995129322, -87.751172836)"
32021,46609,12338405,JE197272,4/7/2021 13:00,086XX S BENNETT AVE,560,ASSAULT,SIMPLE,RESIDENCE,False,True,412,4,8.0,45,08A,1190354.0,1848042.0,2021,4/14/2021 17:57,41.73805323,-87.57816773,"(41.738053229, -87.578167731)"
28123,40900,12325463,JE181175,3/27/2021 9:40,011XX S STATE ST,460,BATTERY,SIMPLE,CTA STATION,False,False,123,1,4.0,32,08B,1176517.0,1895340.0,2021,4/3/2021 17:04,41.86816541,-87.62743954,"(41.868165405, -87.62743954)"
9159,13428,12285581,JE129631,1/1/2021 18:45,0000X W TERMINAL ST,460,BATTERY,SIMPLE,AIRCRAFT,False,False,1653,16,41.0,76,08B,1101811.0,1934419.0,2021,2/6/2021 15:49,41.97676298,-87.90098372,"(41.976762981, -87.900983721)"
6228,9296,12274646,JE118792,1/20/2021 11:00,096XX S LOWE AVE,820,THEFT,$500 AND UNDER,RESIDENCE,False,False,2223,22,21.0,73,6,1173668.0,1840957.0,2021,1/27/2021 15:54,41.71899654,-87.63951,"(41.718996543, -87.639510001)"
3308,4987,12266794,JE109639,1/11/2021 2:00,020XX W JACKSON BLVD,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,1225,12,27.0,28,04A,1162659.0,1898621.0,2021,1/18/2021 16:01,41.8774702,-87.67822288,"(41.877470199, -87.678222877)"
30338,44115,12331079,JE187961,4/3/2021 8:24,009XX N MOZART ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1211,12,26.0,24,08B,1157212.0,1906235.0,2021,4/10/2021 17:05,41.89847607,-87.69801585,"(41.898476071, -87.698015846)"
861,1261,12267021,JE109855,1/8/2021 0:00,089XX S LOWE AVE,560,ASSAULT,SIMPLE,RESIDENCE,False,True,2223,22,21.0,71,08A,1173536.0,1845677.0,2021,1/16/2021 15:49,41.7319518,-87.6398542,"(41.731951795, -87.639854202)"
3932,5920,12268539,JE111580,1/13/2021 12:20,012XX N STATE PKWY,530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,False,False,1824,18,43.0,8,04A,1176070.0,1908457.0,2021,1/20/2021 15:53,41.90416925,-87.62868513,"(41.90416925, -87.628685126)"
5243,7829,12272707,JE116073,1/17/2021 19:00,060XX N FRANCISCO AVE,820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,2413,24,50.0,2,6,1155918.0,1940056.0,2021,1/24/2021 15:47,41.99130939,-87.70185347,"(41.991309391, -87.701853468)"
20519,29766,12308189,JE160457,3/5/2021 23:03,043XX S MICHIGAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,True,False,215,2,3.0,38,14,1177883.0,1876224.0,2021,3/12/2021 15:54,41.81567878,-87.62300516,"(41.815678779, -87.623005155)"
425,615,12261765,JE103791,1/5/2021 10:10,052XX S HALSTED ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,True,True,934,9,20.0,61,08B,1171857.0,1870211.0,2021,1/16/2021 15:49,41.79931306,-87.6452861,"(41.799313057, -87.645286103)"
23538,34210,12316606,JE170691,3/14/2021 21:00,054XX N WINTHROP AVE,820,THEFT,$500 AND UNDER,STREET,False,False,2023,20,48.0,77,6,1167887.0,1936316.0,2021,3/21/2021 16:49,41.98079612,-87.65793691,"(41.980796118, -87.657936906)"
16346,23703,12299074,JE149389,2/22/2021 23:45,007XX E 133RD ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,533,5,9.0,54,08B,1183624.0,1817490.0,2021,3/1/2021 15:46,41.65437395,-87.60377263,"(41.654373954, -87.60377263)"
33565,48893,12338009,JE196788,4/12/2021 3:20,047XX N LAWNDALE AVE,520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True,1723,17,35.0,14,04A,1150867.0,1931239.0,2021,4/19/2021 17:20,41.9672157,-87.72066447,"(41.967215704, -87.720664469)"
33640,49004,12339114,JE198090,4/12/2021 7:58,025XX N HALSTED ST,890,THEFT,FROM BUILDING,APARTMENT,False,False,1935,19,43.0,7,6,1170506.0,1917255.0,2021,4/19/2021 17:20,41.92843502,-87.64886505,"(41.92843502, -87.648865054)"
16805,24362,12300534,JE150613,2/23/2021 15:00,050XX S EAST END AVE,810,THEFT,OVER $500,RESIDENCE,False,False,222,2,5.0,39,6,1188165.0,1871757.0,2021,3/2/2021 15:50,41.80318162,-87.58543202,"(41.803181616, -87.585432024)"
20557,29820,12307668,JE159669,3/5/2021 0:15,002XX E 121ST PL,890,THEFT,FROM BUILDING,OTHER (SPECIFY),False,False,532,5,9.0,53,6,1180112.0,1824450.0,2021,3/12/2021 15:54,41.67355412,-87.61641112,"(41.673554115, -87.616411124)"
12002,17451,12288097,JE135293,2/7/2021 16:00,001XX S STATE ST,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,True,False,112,1,42.0,32,04A,1176405.0,1899613.0,2021,2/14/2021 15:47,41.8798933,-87.62772175,"(41.879893301, -87.627721751)"
4308,6472,12272406,JE116079,1/6/2021 0:00,014XX W EDGEWATER AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,2013,20,48.0,77,11,1165602.0,1938315.0,2021,1/21/2021 15:49,41.98633057,-87.66628307,"(41.986330566, -87.666283073)"
6485,9658,12275917,JE120238,1/20/2021 16:00,088XX S EAST END AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,412,4,8.0,48,11,1189097.0,1846664.0,2021,1/27/2021 15:54,41.73430204,-87.58281703,"(41.734302035, -87.582817027)"
31195,45394,12332619,JE190142,4/5/2021 12:00,083XX S HOLLAND RD,810,THEFT,OVER $500,STREET,False,True,622,6,21.0,44,6,1175640.0,1849717.0,2021,4/12/2021 17:33,41.7429913,-87.63202582,"(41.742991296, -87.632025815)"
23743,34499,12315372,JE169070,3/14/2021 19:45,083XX S MORGAN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,613,6,21.0,71,08B,1171102.0,1849453.0,2021,3/21/2021 16:49,41.74236713,-87.64866088,"(41.742367129, -87.648660879)"
10775,15651,12287561,JE134059,1/24/2021 9:40,005XX W FULTON ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,False,False,1214,12,42.0,28,11,1172532.0,1902104.0,2021,2/9/2021 15:44,41.88681526,-87.64186907,"(41.886815262, -87.641869071)"
16378,23750,12299127,JE149534,2/22/2021 23:30,026XX E 78TH ST,820,THEFT,$500 AND UNDER,STREET,False,False,421,4,7.0,43,6,1195409.0,1853765.0,2021,3/1/2021 15:46,41.75363438,-87.55945923,"(41.753634383, -87.559459234)"
32479,47309,12340402,JE199254,3/26/2021 11:20,024XX N Washtenaw Ave,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,1431,14,1.0,22,11,1157958.0,1916201.0,2021,4/16/2021 17:19,41.92580838,-87.69500341,"(41.925808379, -87.695003407)"
